Model,Style Code,Release,Era,Notes,Sources
Buzz Lightyear,BA2449-349,06/2008,Pre-Camo,xxx,"Ebay, Seller"
Fearless / Oregon Ducks,DR6429-100,2023,Doernbecher Collab,xxx,"ebay, nike sb"
Desert Camo,BA6118-220,2013,Camo Boom,"Owned, awaiting restoration",ebay seller photo
