filename,style_code,view_type,source_type,seller,listing_id,listing_url,date_captured,notes,relative_path
BA2037-089_ebay_hyperpotion_2025-06-20_back_1.jpg,BA2037-089,back,ebay,hyperpotion,,,20/06/2025,,BA2037-089\Photos\BA2037-089_ebay_hyperpotion_2025-06-20_back_1.jpg
BA2037-089_ebay_hyperpotion_2025-06-20_back_1.jpg,BA2037-089,back,ebay,hyperpotion,,,20/06/2025,,BA2449-089\Photos\BA2037-089_ebay_hyperpotion_2025-06-20_back_1.jpg
