filename,style_code,view_type,sequence,date_saved,title,identifier,creator,date,publisher,type,format,source,language,description,coverage,subject,relation,rights,contributor,description,subject,coverage,relation,source
BA2037-089_bottom_1.jpg,BA2037-089,bottom,1,2025-06-23,BA2037-089 - Bottom View,BA2037-089,Nike SB,,,Image,JPEG or PNG,,en,,,,,For archival use only,Tamir Segal,,,,,
BA2037-089_front_1.jpg,BA2037-089,front,1,2025-06-23,BA2037-089 - Front View,BA2037-089,Nike SB,,,Image,JPEG or PNG,https://www.ebay.com/itm/123456,en,Front view of the original Elephant Print RPM.,"United States, 2007","Elephant Print, Early RPM, Rare Models",Precedes BA2449-089,For archival use only,Tamir Segal,Front view of the original Elephant Print RPM.,"Elephant Print, Early RPM, Rare Models","United States, 2007",Precedes BA2449-089,https://www.ebay.com/itm/123456
